url	status	notes
https://www.cyberattaque.org/suez-les-donnees-clients-en-fuite-apres-une-cyberattaque-chez-un-prestataire/	200	quotes verbatim match
https://christophemazzola.fr/en/articles/fuites-donnees-france-aout-2026	200	Mazzola quote verbatim match
https://fuitesinfos.fr/article/2026-08-20-suez-eau-france	200	consistent
https://www.cisa.gov/news-events/alerts/2026/08/24/cisa-adds-one-known-exploited-vulnerability-catalog	200	2026-08-30T13:19:14Z
https://github.com/go-gitea/gitea/security/advisories/GHSA-rcr6-4jqh-j84m	200	2026-08-30T13:19:14Z
https://www.cisa.gov/news-events/alerts/2026/08/25/cisa-adds-one-known-exploited-vulnerability-catalog	200	2026-08-30T13:19:14Z
https://www.cisa.gov/news-events/alerts/2026/08/26/cisa-adds-six-known-exploited-vulnerabilities-catalog	200	2026-08-30T13:19:14Z
https://www.proofpoint.com/us/blog/threat-insight/carry-compromise-ta4922-packs-packclient	200	quotes verified; one quote is a splice of 3 list bullets w/o ellipsis
https://dreamgroup.com/blog/inside-a-multi-agent-ai-framework-used-to-compromise-government-entities-in-asia	200	wayback confirms 2026-08-12 existence despite confusing JSON-LD dates; quotes verbatim
https://www.tenable.com/blog/the-agentic-ai-threat-cluster-seven-incidents-three-actors-and-what-they-mean	200	quotes verbatim except tracking-start-date splice (Nov2025 vs Jul21 2026)
https://moda-gov-tw.translate.goog/ACS/press/news/press/20394	200	Chinese original fetched; entry lacks original: field for translated quote, and two divergent EN translations used (evidence vs body)
https://www.afp.gov.au/news-centre/media-release/two-wa-men-charged-following-afp-fbi-wapf-disruption-alleged-global	200	quotes verbatim
https://krebsonsecurity.com/2026/08/two-alleged-teampcp-hackers-arrested-in-australia/	200	quotes verbatim
https://www.troyhunt.com/a-cautionary-tale-about-data-breach-claims-verification-and-carhartt/	200	all quotes and numbers verbatim match
https://www.nozominetworks.com/blog/when-ransomware-turns-off-the-hvac-lessons-from-the-winnipeg-hospital-incident	200	quote verbatim
https://www.cbc.ca/news/canada/manitoba/health-sciences-centre-ransomware-hack-9.7302058	200	quote verbatim
https://www.cbc.ca/news/canada/manitoba/winnipeg-hsc-ransomware-cyberattack-9.7310005	200	quote verbatim
https://www.wiz.io/blog/red-agent-snowflake-copilot-cicd-bug	200	quotes verbatim (one drops IP per no-IOCs policy)
https://www.oracle.com/security-alerts/cpujan2026.html	200	2026-08-30T13:23:39Z
https://www.netspi.com/blog/executive-blog/critical-vulnerability/oracle-weblogic-server-proxy-plugin-cve-2026-21962-overview-takeaways/	200	2026-08-30T13:23:39Z
https://www.securityweek.com/cisa-warns-of-exploited-oracle-weblogic-vulnerability/	200	2026-08-30T13:23:39Z
https://socradar.io/blog/snowlight-government-chinese-campaign/	200	2026-08-30T13:23:39Z
https://thehackernews.com/2026/08/cisa-adds-six-exploited-flaws-to-kev.html	200	2026-08-30T13:23:39Z
https://thehackernews.com/2026/08/uat-10147-uses-ai-to-scale-server.html	200	2026-08-30T13:23:39Z
https://www.helpnetsecurity.com/2026/08/26/gitea-cve-2026-60004-exploited-in-the-wild/	200	2026-08-30T13:23:39Z
https://www.watchguard.com/wgrd-blog/immediate-action-required-update-your-firebox-now	200	2026-08-30T13:23:39Z
https://psirt.watchguard.com/CVE-2026-13086/	200	2026-08-30T13:23:39Z
https://psirt.watchguard.com/CVE-2026-19313/	200	2026-08-30T13:23:39Z
https://psirt.watchguard.com/CVE-2026-19315/	200	2026-08-30T13:23:39Z
https://unit42.paloaltonetworks.com/autonomous-ai-cyber-attack-campaign/	200	quotes verbatim; confirms no "SAML" mention
https://support.citrix.com/support-home/kbsearch/article?articleNumber=CTX696300	JS-shell	not extractable via any rung (Angular SPA); SAML IdP precondition corroborated via watchTowr instead
https://labs.watchtowr.com/please-we-beg-just-one-weekend-free-of-appliances-citrix-netscaler-cve-2026-3055-memory-overread-part-2/	200	confirms SAML IdP precondition, honeypot exploitation Mar27, second overread path
https://0patch.com/blog/micropatches-released-for-windows-ike-service-extensions	200	quotes verbatim
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-33824	200 (jina)	CVSS 9.8 confirmed; MSRC revised Aug20 2026 (informational mitigation clarification only) after entry's Aug19 claim of "not revised since 14 April" - now stale but substance (Exploited:No, Exploitation Less Likely) unchanged
https://euvd.enisa.europa.eu/enisa/eu_vulnerability_database/EUVD-2026-22641	app-error	ENISA EUVD app currently down ("Application Unavailable"), inconclusive
https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json	200	CVE-2026-33824 dateAdded 2026-08-18 confirmed verbatim; CVE-2026-3055 shortDescription explicitly confirms SAML IDP precondition; CVE-2026-68820 dateAdded 2026-08-11 confirmed
https://www.cisa.gov/news-events/alerts/2026/08/11/cisa-adds-three-known-exploited-vulnerabilities-catalog	200	confirms CVE-2026-68820 added 2026-08-11
https://www.huntress.com/blog/huntress-dprk-remote-worker-investigation	200	2026-08-30T13:25:15Z
https://www.helpnetsecurity.com/2026/08/28/north-korean-remote-workers-jobs-sales-and-marketing/	200	2026-08-30T13:25:15Z
https://www.microsoft.com/en-us/security/blog/2026/08/28/terminalfix-campaign-deploys-reverse-tunnel-through-multistage-intrusion/	200	2026-08-30T13:25:15Z
https://www.microsoft.com/en-us/security/blog/2026/08/26/when-ai-infrastructure-becomes-target-securing-gateways-control-points/	200	2026-08-30T13:25:15Z
https://securelist.com/vulnerabilities-and-exploits-in-q2-2026/121091/	200	2026-08-30T13:25:15Z
https://research.checkpoint.com/2026/24th-august-threat-intelligence-report/	200	2026-08-30T13:25:15Z
https://research.checkpoint.com/2026/shattering-the-dream-when-a-job-offer-becomes-a-zero-day-attack/	200	all quotes verbatim incl 94/95 GUID claim, CVE-2025-49113 post-auth confirmed
https://www.rapid7.com/blog/post/em-patch-tuesday-august-2026/	200	confirms CVSS 7.0, Exploitation Detected, not yet KEV at time of writing
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-68820	JS-shell-noload	inconclusive via jina this pass; corroborated via Check Point + Rapid7 + CISA instead
https://www.cisa.gov/news-events/ics-medical-advisories/icsma-26-216-01	200	CVSS 8.4 confirmed, fixed versions confirmed, revision 1 only
https://raw.githubusercontent.com/cisagov/CSAF/develop/csaf_files/OT/white/2026/icsma-26-216-01.json	200	digital signature quote verbatim confirmed; EoL lines confirmed
https://www.vulncheck.com/blog/zbt-endlessdoors	200	quotes verbatim confirmed
https://www.vulncheck.com/blog/zbt-darklantern-speakingstone	200	all quotes/numbers verbatim confirmed incl Digineo/ALLNET OEM platform match
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-62911	JS-shell	confirmed via msrc cve API instead: CVSS 8.0/3.1, vector matches PR:L/UI:R, exploited=No
https://api.msrc.microsoft.com (msrc cve CVE-2026-62911)	200	baseScore 8.0, vectorString CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H matches entry
https://www.frankysweb.de/en/exchange-public-exploit-for-critical-vulnerability-cve-2026-62911/	200	quotes verbatim confirmed
https://advisories.ncsc.nl/advisory?id=NCSC-2026-0289	redirect-noload	not independently verified this pass (corroborating only)
https://www.papercut.com/kb/Main/security-bulletin-27-aug-2026-urgent-security-advisory/	200	quote verbatim confirmed
https://www.huntress.com/blog/papercut-actively-exploited	200	all quotes + 47%/2500 stat + charmap.exe + derby pwn signature + 2nd incident (24.1.5.71847, 27 Aug) confirmed verbatim
https://www.rapid7.com/blog/post/etr-papercut-ng-mf-critical-zero-day-exploited-in-the-wild/	200	CVSS4 8.8/9.4 CWE-306/470 confirmed, URIs match verbatim, quotes verbatim
https://thehackernews.com/2026/08/three-cvss-100-servicenow-flaws-could.html	200	all quotes + CVSS vector + version matrix + PR:L inconsistency confirmed verbatim
https://www.trendaisecurity.com/en-us/resources-insights/trendai-security-blog/redc2-ai-powered-linux-implant	200	all 3 evidence quotes confirmed verbatim; Wiz Red Agent disambiguation confirmed in registry
https://www.kyberturvallisuuskeskus.fi/en/news/manufacturers-prepare-advance-reporting-vulnerabilities-and-incidents-under-cyber-resilience-act	200	all 3 evidence quotes confirmed verbatim
https://www.enisa.europa.eu/topics/product-security/single-reporting-platform-srp	200	go-live date confirmed; trafilatura date metadata shows 2026-08-03 not 2026-08-14 cited (low-confidence drift note)
https://www.br.de/nachrichten/deutschland-welt/sicherheitsluecke-mobilfunknetze-verrieten-sensible-handydaten,VTPFtd7	200	all 3 original-German evidence quotes + body paraphrases confirmed verbatim; body inline translated quotes lack (translated from German) marker
https://www.heise.de/news/Mobilfunk-IMEI-Kennungen-gelangten-beim-Rufaufbau-unbemerkt-zu-Anrufern-11427013.html	200	corroborates BR24, Nohl quote confirmed
https://www.cash.ch/news/mehrere-kantone-vermuten-missbrauch-von-fahrzeughalterdaten-964337	200	evidence quotes verbatim confirmed; "Probst" quote is individual Lucerne spokesperson response to Keystone-SDA inquiry, not "the joint cantonal statement" as publisher field frames it (low confidence)
https://www.blick.ch/fr/suisse/romande/tentatives-de-chantage-les-donnees-personnelles-dautomobilistes-vaudois-et-valaisans-ont-fuite-id22217676.html	200	evidence quote verbatim confirmed
https://www.tagesspiegel.de/berlin/notfallplane-und-passworter-erbeutet-wegner-weist-erpresser-ultimatum-zuruck--hacker-fordern-laut-medienbericht-zwei-millionen-euro-15984600.html	200	phishing-click quote verbatim confirmed; 5.7TB/Umwelt-Verkehr dept figure confirmed
https://securityaffairs.com/198064/cyber-crime/rhysida-ransomware-group-targets-berlin-government-ahead-of-vote.html	200	all quotes verbatim confirmed; Aug17-vs-Aug14 disclosure-date contradiction confirmed present but not surfaced as Contradiction: line in body
https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-319a	200 (via cisa page)	VPN/valid-creds + Gootloader initial-access claims confirmed verbatim; 2025-04-30 update date confirmed
https://hunt.io/blog/chinese-speaking-operator-philippine-nuclear-naval-contractor	200	quotes confirmed verbatim; Key Findings ZKTeco BioTime 192MB SQL dump bullet confirmed present and omitted from entry
https://www.justice.gov/opa/pr/justice-department-and-fbi-seize-platforms-operated-and-used-china-state-sponsored-hackers	200	"victims"/"computer intrusion activity" evidence quote NOT verbatim - actual text says "targets of QTFY" with no "computer intrusion activity" phrase anywhere on page; 2018 date is from separate FBI/NSA CSA referenced in release, not bound to named-victims sentence
https://unit42.paloaltonetworks.com/ai-enabled-malware-analysis/	200	confirmed telemetry windows: Cortex XDR Dec2024-Jun2025, WildFire Jun2024-Jun2025 - both stale >1yr at Aug 2026 publication, not disclosed in entry
https://patchstack.com/articles/one-slug-seven-editions-the-miniorange-saml-sso-bug-that-let-anyone-log-in-as-your-wordpress-admin/	200	confirmed 3rd WordPress vuln mentioned ("requires admin to click something", UI:R) with NO CVE id or CVSS given by source itself; entry omits this 3rd issue entirely
